Voter,Rank,Award ,Player,,,,,,,
Claire,1,Vezina,Connor Hellebuyck,,,,,,,
Claire,2,Vezina,Andrei Vasilevskiy,,,,,,,
Claire,3,Vezina,Mackenzie Blackwood,,,,,,,
Claire,4,Vezina,Logan Thompson,,,,,,,
Claire,5,Vezina,Filip Gustavsson,,,,,,,
Claire,1,Hart,Jackson Black,,,,,,,
Claire,2,Hart,Matthew Tkachuk,,,,,,,
Claire,3,Hart,Shayne Godtisbehertr,,,,,,,
Claire,4,Hart,Leon Draisaitl,,,,,,,
Claire,5,Hart,Josh Doan,,,,,,,
Claire,1,Frank J. Selke,Nazem Kadri,,,,,,,
Claire,2,Frank J. Selke,Sam Bennett,,,,,,,
Claire,3,Frank J. Selke,Nico Hischier,,,,,,,
Claire,4,Frank J. Selke,Tom Wilson ,,,,,,,
Claire,5,Frank J. Selke,Brady Tkachuk,,,,,,,
Claire,1,James Norris,Aaron Ekblad,,,,,,,
Claire,2,James Norris,Niko Mikkola,,,,,,,
Claire,3,James Norris,Brayden Pachal,,,,,,,
Claire,4,James Norris,Emil Lilleberg,,,,,,,
Claire,5,James Norris,Ian Cole,,,,,,,
Claire,1,Calder,Jake Sanders,,,,,,,
Claire,2,Calder,Wyatt Johnson,,,,,,,
Claire,3,Calder,Kirill Marchenko,,,,,,,
Claire,4,Calder,Brock Faber,,,,,,,
Claire,5,Calder,Owen Power,,,,,,,
Claire,1,Lady Byng,Colton Parayko,,,,,,,
Claire,2,Lady Byng,Jake Sanders,,,,,,,
Claire,3,Lady Byng,Alex Vlasic,,,,,,,
Claire,4,Lady Byng,Cale Maker,,,,,,,
Claire,5,Lady Byng,Erik Karlsson,,,,,,,
Ian,1,Vezina,Connor Hellebuyck,,,,,,,
Ian,2,Vezina,Andrei Vasilevskiy,,,,,,,
Ian,3,Vezina,Igor Shesterkin,,,,,,,
Ian,4,Vezina,Mackenzie Blackwood,,,,,,,
Ian,5,Vezina,Filip Gustavsson,,,,,,,
Ian,1,Hart,Connor Hellebuyck,,,,,,,
Ian,2,Hart,Zach Werenski,,,,,,,
Ian,3,Hart,Kirill Marchenko,,,,,,,
Ian,4,Hart,Dustin Wolf,,,,,,,
Ian,5,Hart,John Carlson,,,,,,,
Ian,1,Frank J. Selke,Cale Makar,,,,,,,
Ian,2,Frank J. Selke,Jackson Blake,,,,,,,
Ian,3,Frank J. Selke,Pierre-Luc Dubois,,,,,,,
Ian,4,Frank J. Selke,John Carlson,,,,,,,
Ian,5,Frank J. Selke,William Nylander,,,,,,,
Ian,1,James Norris,Lane Hutson,,,,,,,
Ian,2,James Norris,Erik Karlsson,,,,,,,
Ian,3,James Norris,John Carlson,,,,,,,
Ian,4,James Norris,Alex Vlasic,,,,,,,
Ian,5,James Norris,Brent Burns,,,,,,,
Ian,1,Calder,Kirill Marchenko,,,,,,,
Ian,2,Calder,Wyatt Johnston,,,,,,,
Ian,3,Calder,Dustin Wolf,,,,,,,
Ian,4,Calder,Marco Rossi,,,,,,,
Ian,5,Calder,Logan Thomspon,,,,,,,
Ian,1,Lady Byng,Cale Makar,,,,,,,
Ian,2,Lady Byng,Kirill Marchenko,,,,,,,
Ian,3,Lady Byng,Alex Vlasic,,,,,,,
Ian,4,Lady Byng,Erik Karlsson,,,,,,,
Ian,5,Lady Byng,John Carlson,,,,,,,
Henry,1,Hart,David Pastrnak,,,,,,,
Henry,2,Hart,Jason Robertson,,,,,,,
Henry,3,Hart,Leon Draisaitl,,,,,,,
Henry,4,Hart,Artemi Panarin,,,,,,,
