Voter,Trophy,,Player
Ian,Vezina,,Connor Hellebuyck
Ian,Vezina,,Andrei Vasilevskiy
Ian,Vezina,,Igor Shesterkin
Ian,Vezina,,Mackenzie Blackwood
Ian,Vezina,,Filip Gustavsson
Ian,James Norris,,Lane Hutson
Ian,James Norris,,Erik Karlsson
Ian,James Norris,,John Carlson
Ian,James Norris,,Alex Vlasic
Ian,James Norris,,Brent Burns
Ian,Calder Memorial,,Kirill Marchenko
Ian,Calder Memorial,,Wyatt Johnston
Ian,Calder Memorial,,Dustin Wolf
Ian,Calder Memorial,,Marco Rossi
Ian,Calder Memorial,,Logan Thomspon
Ian,Frank J Selke,,Cale Makar
Ian,Frank J Selke,,Jackson Blake
Ian,Frank J Selke,,Pierre-Luc Dubois
Ian,Frank J Selke,,John Carlson
Ian,Frank J Selke,,William Nylander
Ian,Hart Memorial,,Connor Hellebuyck
Ian,Hart Memorial,,Zach Werenski
Ian,Hart Memorial,,Kirill Marchenko
Ian,Hart Memorial,,Dustin Wolf
Ian,Hart Memorial,,John Carlson
Ian,Lady Byng,,Cale Makar
Ian,Lady Byng,,Kirill Marchenko
Ian,Lady Byng,,Alex Vlasic
Ian,Lady Byng,,Erik Karlsson
Ian,Lady Byng,,John Carlson
