Award,Player,Rank
Hart ,Ekholm-Bouchard,1
Hart ,Slavis-Burns,2
Hart ,Toews-Makar,3
Hart ,Gostisbere-Walker,4
Hart ,Orlov-Chatfield,5
Vezina,Connor Hellebuyck,1
Vezina,Andrei Vasilevskiy,2
Vezina,Ilya Sorokin,3
Vezina,Igor Sh,4
Vezina,Ukko-Pekka Luukkonen,5
James Norris,Moritz Seider,1
James Norris,MacKenzie Weegar,2
James Norris,Cale Makar,3
James Norris,Colton Parayko,4
James Norris,Neal Pionk,5
Calder,Dylan Holloway,1
Calder,Will Cuyllie,2
Calder,Colton Dach,3
Calder,Martin Pospisil,4
Calder,Paul Cotter,5
Frank J Selke,Will Cuyllie,1
Frank J Selke,Fabian Zetterlund,2
Frank J Selke,Beck Malenstyn,3
Frank J Selke,Dylan Holloway,4
Frank J Selke,Juraj Slafkovsky,5
,,
,,
,,
,,
